Experiment ID,Model,Question,syntax_ok,max_cyclomatic_complexity,total_cyclomatic_complexity,maintainability_index,raw_loc,raw_lloc,raw_sloc,raw_comments,raw_multi,raw_blank,raw_single_comments,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_calculated_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
7e9a3e78-188a-484b-a3e3-dc440342139b,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,10,10,88.24853690893879,38,23,23,11,0,5,10,3,5,3,5,8,8,16.36452797660028,24.0,1.5,36.0,2.0,0.008
466fed35-adf4-4ab0-9cff-5fc2cd687c1b,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,7,7,91.73334408061034,41,20,20,15,0,6,15,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
4d4a24b8-0b9f-4c66-925d-8d82ad07b985,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,8,8,91.1680055798684,42,20,20,16,0,6,16,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
64d34a04-3077-4f0d-b32b-ffd04fddcaf2,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,6,6,93.28958566528398,35,17,17,13,0,5,13,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
bf4304bb-6a0e-40ec-8de6-00e08263027c,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,14,14,81.70241039002842,55,36,36,15,0,5,14,2,4,5,9,6,14,10.0,36.18947501009619,2.25,81.42631877271643,4.523684376262024,0.0120631583366987
3bd1e119-8d32-4001-b963-9f63642b5307,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,8,8,87.02833357313952,46,23,23,18,0,5,18,2,5,4,7,7,11,13.60964047443681,30.880904142633646,1.4,43.2332657996871,2.401848099982617,0.0102936347142112
9aea49c8-d83d-4a6f-b35e-ddecc7a8ee92,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,13,13,83.1739843337256,41,23,23,14,0,5,13,3,15,10,19,18,29,63.35824643629125,120.92782504182703,1.9,229.7628675794714,12.764603754415075,0.0403092750139423
44e1b1de-a469-4468-b2a6-6b07902722fc,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,12,12,81.36192284573092,46,29,29,12,0,5,12,4,13,7,14,17,21,56.1057163358342,85.83671966625714,2.1538461538461537,184.87908851193845,10.27106047288547,0.0286122398887523
169aeace-4d6d-4f0b-beda-dd13bc6e4806,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,12,12,76.53305343093095,44,30,30,7,0,7,7,3,15,9,17,18,26,63.35824643629125,108.41805003750012,1.7,184.31068506375016,10.239482503541677,0.0361393500125
530a6b94-3a30-433c-b498-326c12bc0ea1,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,8,8,86.17502046798677,61,27,27,22,0,12,22,2,5,3,5,7,8,13.60964047443681,22.45883937646084,1.0,22.45883937646084,1.2477132986922683,0.0074862797921536
ce3a7c74-aea5-41ac-8eed-0d4f6f79d7fb,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,9,9,85.47758809310467,45,22,22,14,0,9,14,3,13,6,13,16,19,52.86060383799767,76.0,1.5,114.0,6.333333333333333,0.0253333333333333
8f6a96de-5a35-4a56-94e0-df58a8f0a403,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,7,9,59.01297611199274,34,29,29,0,0,5,0,1,4,2,4,5,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.0046438561897747
cc54abcf-ea62-4138-9715-dd1c5f9014c8,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,6,6,88.72273479377279,39,20,20,14,0,5,14,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
274497cd-7d01-4565-9d2f-1d53db4c0b89,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,4,7,61.6183500485022,41,32,31,0,0,10,0,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211
06b6807d-31dc-4e7a-bbf4-95c1cf6e6204,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,12,15,50.22452779553397,46,42,42,0,0,4,0,3,10,5,10,13,15,37.97416845103709,55.506595772116384,1.5,83.25989365817458,4.625549647676365,0.0185021985907054
511aa369-1e77-426d-b449-7c57beafe2eb,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,8,8,87.36279441600335,45,23,23,15,0,8,14,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
9bb36ae6-f05e-4330-bc5b-a222da556e4e,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,8,8,86.05867819991693,46,22,22,17,0,9,15,3,9,5,9,12,14,33.28421251514428,50.18947501009619,1.5,75.28421251514428,4.182456250841349,0.0167298250033653
2c064936-da6d-43d4-9edb-7f8f2b6f1227,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,6,6,96.87844468960908,38,22,22,11,0,5,11,1,1,1,1,2,2,0.0,2.0,0.5,1.0,0.0555555555555555,0.0006666666666666
4ca21e04-6a78-4417-ac11-a53a7a8e4a36,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,10,10,84.99583346295587,55,29,29,18,0,10,16,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
a132d0e5-8bfe-4446-a3f8-3b75818ec9eb,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",True,10,10,84.77517015128714,41,21,21,14,0,7,13,3,16,8,16,19,24,68.75488750216347,101.95026032264605,1.5,152.92539048396907,8.49585502688717,0.0339834201075486
fe8dab73-deab-4ac1-89b2-fe1225c8b6b0,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",True,10,14,50.72217171988338,44,38,41,0,0,3,0,3,12,6,12,15,18,47.77443751081735,70.32403072095333,1.5,105.48604608143,5.860335893412778,0.0234413435736511
4ce0f60a-47de-4400-aca4-6f1bff713f3a,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",True,11,11,83.0020702736275,48,24,24,15,0,9,15,3,17,9,19,20,28,74.24175580341925,121.01398665684616,1.6764705882352942,202.8763893953009,11.270910521961165,0.040337995552282
